RUN	gatling_example.GoogleTest	googletest	1561405385652	 	3.1.2
USER	Search 'Gatling demo'	3	START	1561405393934	1561405393934
USER	Search 'Gatling demo'	2	START	1561405393934	1561405393934
USER	Search 'Gatling demo'	1	START	1561405393934	1561405393934
USER	Search 'Gatling demo'	5	START	1561405394025	1561405394025
USER	Search 'Gatling demo'	4	START	1561405394022	1561405394022
USER	Search 'Gatling demo'	6	START	1561405394141	1561405394141
USER	Search 'Gatling demo'	7	START	1561405394238	1561405394238
USER	Search 'Gatling demo'	8	START	1561405394417	1561405394417
USER	Search 'Gatling demo'	9	START	1561405394613	1561405394613
USER	Search 'Gatling demo'	10	START	1561405394613	1561405394613
REQUEST	2		Getting Google Homepage	1561405394020	1561405394454	OK	 
REQUEST	5		Getting Google Homepage	1561405394026	1561405394453	OK	 
REQUEST	4		Getting Google Homepage	1561405394023	1561405394454	OK	 
REQUEST	4		request_1	1561405394708	1561405394747	OK	 
REQUEST	2		request_1	1561405394717	1561405394752	OK	 
USER	Search 'Gatling demo'	11	START	1561405394796	1561405394796
USER	Search 'Gatling demo'	12	START	1561405394803	1561405394803
REQUEST	6		Getting Google Homepage	1561405394157	1561405394453	OK	 
REQUEST	1		Getting Google Homepage	1561405394019	1561405394455	OK	 
REQUEST	6		request_1	1561405394811	1561405394847	OK	 
REQUEST	3		Getting Google Homepage	1561405394019	1561405394454	OK	 
REQUEST	1		request_1	1561405394838	1561405394879	OK	 
REQUEST	3		request_1	1561405394857	1561405394888	OK	 
REQUEST	7		Getting Google Homepage	1561405394239	1561405394453	OK	 
REQUEST	5		request_1	1561405394703	1561405394966	OK	 
REQUEST	7		request_1	1561405394932	1561405394968	OK	 
REQUEST	8		Getting Google Homepage	1561405394419	1561405395036	OK	 
REQUEST	8		request_1	1561405395057	1561405395089	OK	 
REQUEST	10		Getting Google Homepage	1561405394639	1561405395095	OK	 
REQUEST	10		request_1	1561405395101	1561405395134	OK	 
USER	Search 'Gatling demo'	13	START	1561405395139	1561405395139
REQUEST	11		Getting Google Homepage	1561405394803	1561405395150	OK	 
USER	Search 'Gatling demo'	14	START	1561405395144	1561405395144
USER	Search 'Gatling demo'	16	START	1561405395162	1561405395162
USER	Search 'Gatling demo'	15	START	1561405395169	1561405395169
REQUEST	11		request_1	1561405395154	1561405395179	OK	 
REQUEST	12		Getting Google Homepage	1561405394805	1561405395196	OK	 
REQUEST	9		Getting Google Homepage	1561405394624	1561405395206	OK	 
REQUEST	12		request_1	1561405395200	1561405395227	OK	 
REQUEST	9		request_1	1561405395209	1561405395236	OK	 
USER	Search 'Gatling demo'	17	START	1561405395275	1561405395275
REQUEST	14		Getting Google Homepage	1561405395145	1561405395287	OK	 
REQUEST	13		Getting Google Homepage	1561405395141	1561405395308	OK	 
REQUEST	16		Getting Google Homepage	1561405395164	1561405395313	OK	 
REQUEST	15		Getting Google Homepage	1561405395175	1561405395319	OK	 
REQUEST	14		request_1	1561405395306	1561405395332	OK	 
REQUEST	13		request_1	1561405395311	1561405395338	OK	 
REQUEST	16		request_1	1561405395316	1561405395354	OK	 
REQUEST	15		request_1	1561405395322	1561405395359	OK	 
REQUEST	17		Getting Google Homepage	1561405395276	1561405395433	OK	 
USER	Search 'Gatling demo'	18	START	1561405395444	1561405395444
REQUEST	17		request_1	1561405395436	1561405395467	OK	 
USER	Search 'Gatling demo'	19	START	1561405395499	1561405395499
USER	Search 'Gatling demo'	20	START	1561405395564	1561405395564
REQUEST	18		Getting Google Homepage	1561405395446	1561405395605	OK	 
REQUEST	18		request_1	1561405395620	1561405395646	OK	 
REQUEST	19		Getting Google Homepage	1561405395506	1561405395663	OK	 
