RUN	gatling_example.GoogleTest	googletest	1561402714369	 	3.1.2
USER	Search 'Gatling demo'	1	START	1561402721249	1561402721249
USER	Search 'Gatling demo'	2	START	1561402721359	1561402721359
USER	Search 'Gatling demo'	3	START	1561402721460	1561402721460
REQUEST	1		Getting Google Homepage	1561402721309	1561402721480	OK	 
USER	Search 'Gatling demo'	4	START	1561402721566	1561402721566
REQUEST	2		Getting Google Homepage	1561402721360	1561402721523	OK	 
REQUEST	3		Getting Google Homepage	1561402721462	1561402721675	OK	 
USER	Search 'Gatling demo'	5	START	1561402721680	1561402721680
USER	Search 'Gatling demo'	6	START	1561402721772	1561402721772
REQUEST	2		request_1	1561402721728	1561402721768	OK	 
REQUEST	3		request_1	1561402721730	1561402721768	OK	 
REQUEST	1		request_1	1561402721724	1561402721769	OK	 
REQUEST	4		Getting Google Homepage	1561402721570	1561402721811	OK	 
REQUEST	4		request_1	1561402721815	1561402721840	OK	 
USER	Search 'Gatling demo'	7	START	1561402721863	1561402721863
REQUEST	3		Searching for 'gatling demo'	1561402721796	1561402721888	OK	 
REQUEST	2		Searching for 'gatling demo'	1561402721796	1561402721891	OK	 
REQUEST	1		Searching for 'gatling demo'	1561402721798	1561402721890	OK	 
REQUEST	4		Searching for 'gatling demo'	1561402721842	1561402721913	OK	 
REQUEST	6		Getting Google Homepage	1561402721786	1561402721969	OK	 
USER	Search 'Gatling demo'	8	START	1561402721963	1561402721963
REQUEST	6		request_1	1561402721984	1561402722012	OK	 
REQUEST	7		Getting Google Homepage	1561402721865	1561402722065	OK	 
USER	Search 'Gatling demo'	9	START	1561402722075	1561402722075
REQUEST	1		request_30	1561402721909	1561402722119	OK	 
REQUEST	7		request_1	1561402722069	1561402722124	OK	 
REQUEST	2		request_30	1561402721905	1561402722128	OK	 
REQUEST	6		Searching for 'gatling demo'	1561402722014	1561402722145	OK	 
REQUEST	4		request_30	1561402721917	1561402722147	OK	 
REQUEST	3		request_30	1561402721909	1561402722132	OK	 
USER	Search 'Gatling demo'	10	START	1561402722167	1561402722167
REQUEST	7		Searching for 'gatling demo'	1561402722126	1561402722196	OK	 
USER	Search 'Gatling demo'	11	START	1561402722263	1561402722263
